NAME;RECORD;NICKNAME;HEIGHT;WEIGHT;REACH;STANCE;DOB;SLpM;Str Acc;SApM;Str Def;TD Avg;TD Acc;TD Def;Sub Avg
Wesley Little;4-8-0;;"6' 4""";205 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Adam Livingston;6-1-0;Bomb;"6' 2""";155 lbs.;"71""";Orthodox;Aug 15, 2001;0.36;33 %;1.08;0 %;0.0;0 %;60 %;0.0
James Llontop;14-5-0;Goku;"6' 0""";155 lbs.;"73""";Orthodox;Aug 02, 1999;5.57;41 %;4.12;57 %;0.0;0 %;54 %;0.0
Abner Lloveras;20-9-1;Skullman;"5' 11""";155 lbs.;--;;Sep 04, 1982;6.27;49 %;6.87;43 %;2.0;20 %;0 %;0.0
Brian Lo-A-Njoe;6-10-3;;"5' 7""";155 lbs.;--;Orthodox;Jan 22, 1976;3.87;42 %;0.0;0 %;0.0;0 %;66 %;0.0
John Lober;5-9-4;The Machine;"5' 11""";199 lbs.;--;Orthodox;Feb 26, 1968;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Artem Lobov;13-15-1 (1 NC);The Russian Hammer;"5' 9""";145 lbs.;"65""";Southpaw;Aug 11, 1986;3.52;41 %;4.82;50 %;0.39;25 %;52 %;0.0
Dylan Lockard;6-2-0;;"5' 9""";145 lbs.;"72""";Orthodox;May 19, 1992;1.31;53 %;3.31;52 %;2.31;40 %;28 %;1.2
Ryan Loder;8-2-0;Man of Steel;"6' 2""";185 lbs.;"76""";Southpaw;Jun 05, 1991;5.76;71 %;2.51;50 %;1.57;14 %;100 %;1.6
Sean Loeffler;31-5-0;The Destroyer;"6' 3""";185 lbs.;--;Orthodox;May 23, 1982;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Christian Lohsen;4-2-0;Hollywood;"6' 2""";155 lbs.;"77""";Southpaw;Jan 24, 1995;5.27;49 %;6.93;44 %;0.0;0 %;0 %;2.0
David Loiseau;23-11-0;The Crow;"6' 0""";185 lbs.;"76""";Orthodox;Dec 17, 1979;1.59;44 %;3.64;43 %;0.43;42 %;36 %;0.1
Hector Lombard;34-10-1 (2 NC);;"5' 9""";185 lbs.;"71""";Southpaw;Feb 02, 1978;3.02;46 %;3.35;53 %;1.69;48 %;77 %;0.5
Michael Lombardo;11-2-0 (1 NC);The Don;"6' 0""";170 lbs.;"72""";Orthodox;Apr 03, 1990;1.47;62 %;2.63;31 %;2.5;21 %;60 %;0.0
Rocky Long;21-37-1;;--;145 lbs.;--;;Feb 18, 1978;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Thomas Longacre;6-1-0;;"5' 9""";145 lbs.;--;Orthodox;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Loma Lookboonmee;10-4-0;;"5' 1""";115 lbs.;"61""";Orthodox;Jan 18, 1996;3.67;55 %;2.52;53 %;1.81;50 %;68 %;0.1
Ange Loosa;10-5-0 (1 NC);The Last Ninja;"5' 10""";170 lbs.;"74""";Orthodox;Mar 18, 1993;5.46;46 %;6.59;52 %;2.53;39 %;83 %;0.2
Lucas Lopes;29-19-0;;"6' 2""";185 lbs.;--;;Oct 05, 1979;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Dileno Lopes;19-3-0;;"5' 5""";135 lbs.;--;;Sep 26, 1984;2.37;36 %;3.33;53 %;2.5;31 %;100 %;1.5
Diego Lopes;27-7-0;;"5' 11""";145 lbs.;"72""";Orthodox;Dec 30, 1994;4.1;48 %;4.72;47 %;0.79;55 %;67 %;1.7
Bruno Lopes;14-2-0;Brunao;"6' 2""";205 lbs.;"74""";Orthodox;Apr 24, 1993;2.81;43 %;3.38;57 %;2.51;33 %;100 %;0.0
Arthur Lopes;6-2-0;Demolidor;"6' 2""";234 lbs.;"77""";Southpaw;Feb 17, 1993;9.74;41 %;14.87;45 %;0.0;0 %;0 %;0.0
Ivan Lopez;14-3-1;;"5' 6""";135 lbs.;--;Southpaw;--;0.9;26 %;2.24;65 %;0.0;0 %;30 %;0.0
Steve Lopez;13-6-1;;"5' 11""";155 lbs.;--;Orthodox;Jul 30, 1984;1.39;24 %;2.69;62 %;0.0;0 %;37 %;0.0
Federico Lopez;10-6-0;Kiko;"5' 4""";139 lbs.;--;Orthodox;Jan 04, 1984;1.78;23 %;5.35;30 %;0.0;0 %;0 %;0.0
Jorge Lopez;11-5-0;;"5' 10""";170 lbs.;--;Orthodox;Nov 21, 1988;2.47;59 %;2.57;50 %;3.5;41 %;81 %;0.0
Christopher Lopez;9-1-0 (1 NC);;"5' 10""";170 lbs.;--;;Jan 30, 1986;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Matthew Lopez;10-4-0;;"5' 7""";135 lbs.;"69""";Southpaw;Jan 21, 1987;3.13;50 %;3.73;55 %;3.32;60 %;71 %;1.3
Benito Lopez;10-2-0;Golden Boy;"5' 10""";135 lbs.;"73""";Switch;Apr 06, 1994;4.39;45 %;5.18;56 %;0.0;0 %;73 %;0.3
Gustavo Lopez;12-6-1;;"5' 5""";135 lbs.;"67""";Orthodox;Jun 27, 1989;2.48;40 %;3.87;57 %;1.74;41 %;31 %;0.7
Alik Lorenz;6-2-0;;"6' 2""";205 lbs.;"77""";Orthodox;Jan 25, 1997;2.0;33 %;32.0;11 %;0.0;0 %;0 %;0.0
Brendan Loughnane;17-3-0;;"5' 10""";145 lbs.;"70""";Switch;Dec 05, 1989;6.23;63 %;6.7;53 %;1.5;30 %;92 %;0.0
Nate Loughran;11-2-0;;"6' 2""";185 lbs.;--;Orthodox;Jul 28, 1980;1.81;40 %;4.11;59 %;0.0;0 %;0 %;2.1
Caolan Loughran;10-2-0;The Don;"5' 6""";135 lbs.;"68""";Orthodox;May 18, 1996;4.73;42 %;5.2;52 %;3.0;34 %;87 %;0.0
Rashard Lovelace;4-1-0;;--;155 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Ian Loveland;18-10-0;The Barn Owl;"5' 8""";145 lbs.;--;Orthodox;Sep 07, 1983;2.71;40 %;2.36;64 %;1.0;37 %;69 %;0.3
Jakob Lovstad;11-4-0;The Striking Viking;"6' 3""";205 lbs.;--;Orthodox;Dec 28, 1979;0.0;0 %;9.43;35 %;0.0;0 %;0 %;0.0
Waylon Lowe;16-7-0 (2 NC);;"5' 7""";145 lbs.;--;Southpaw;Oct 31, 1980;1.88;55 %;2.4;53 %;4.47;55 %;83 %;0.3
Brandon Lowe;2-1-0;;--;155 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Joe Lowry;9-2-0;;"5' 11""";155 lbs.;"73""";Orthodox;Dec 12, 1989;3.97;34 %;4.25;63 %;0.0;0 %;0 %;0.0
Lu Kai;8-5-0 (1 NC);The Last Gladiator;"5' 9""";145 lbs.;"69""";Orthodox;Mar 01, 1994;3.76;43 %;5.51;55 %;2.62;50 %;100 %;2.6
Lu Zhengyong;12-7-0;;--;125 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Robert Lucarelli;0-1-0;;"6' 2""";245 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Matt Lucas;15-3-0;Luke Duke;"6' 1""";205 lbs.;--;;Dec 27, 1973;1.27;48 %;3.93;40 %;1.0;10 %;0 %;0.0
Cleber Luciano;14-6-0;;"5' 6""";155 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Stephanie Luciano;7-2-1;Rondinha;"5' 6""";115 lbs.;"65""";Orthodox;Dec 16, 1999;5.2;42 %;3.04;64 %;1.3;71 %;80 %;0.3
Iasmin Lucindo;18-6-0;;"5' 3""";115 lbs.;"66""";Orthodox;Jan 08, 2002;3.22;45 %;2.8;62 %;2.28;55 %;68 %;0.1
Duane Ludwig;21-14-0;Bang;"5' 10""";170 lbs.;"70""";Orthodox;Aug 04, 1978;4.62;44 %;3.05;57 %;0.43;25 %;59 %;0.1
Lawrence Lui;7-1-0;Lok Yin;"5' 7""";135 lbs.;"72""";Orthodox;Aug 04, 1996;3.9;43 %;3.03;63 %;4.13;35 %;100 %;0.0
Mike Lullo;8-3-0;;"5' 8""";145 lbs.;--;Orthodox;Jul 24, 1979;2.48;36 %;4.84;40 %;1.18;11 %;0 %;0.6
Juan Andres Luna;12-1-0;;"5' 7""";125 lbs.;"72""";Orthodox;Aug 20, 1995;3.27;31 %;3.0;65 %;0.0;0 %;0 %;0.0
Paula Luna;5-3-0;La Prodigia;"5' 2""";125 lbs.;"62""";Orthodox;Jul 05, 1999;0.65;50 %;6.2;17 %;0.0;0 %;0 %;0.0
Santiago Luna;7-0-0;BorderBoy;"5' 9""";135 lbs.;"74""";Orthodox;Aug 06, 2004;5.36;37 %;4.29;50 %;0.0;0 %;100 %;0.0
Dalcha Lungiambula;11-6-0;Champion;"5' 8""";185 lbs.;"76""";Orthodox;Jul 31, 1987;3.07;45 %;3.93;52 %;2.14;45 %;77 %;0.0
Alexandru Lungu;14-4-0;;"6' 0""";385 lbs.;--;Orthodox;Sep 03, 1974;3.61;66 %;7.22;40 %;0.0;0 %;0 %;0.0
Vicente Luque;23-12-1;The Silent Assassin;"5' 11""";170 lbs.;"75""";Orthodox;Nov 27, 1991;4.83;51 %;5.3;51 %;0.9;48 %;60 %;0.7
Thaddeus Luster;0-1-0;;"6' 3""";210 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Travis Lutter;10-6-0;The Serial Killer;"5' 11""";185 lbs.;"75""";Orthodox;May 12, 1973;0.41;32 %;2.42;42 %;1.95;24 %;30 %;0.7
Joilton Lutterbach;38-9-0 (1 NC);Peregrino;"6' 1""";185 lbs.;"75""";Orthodox;Nov 05, 1992;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Tucker Lutz;12-4-0;Top Gun;"5' 8""";145 lbs.;"72""";Orthodox;Jul 12, 1994;3.74;46 %;3.25;44 %;1.99;44 %;69 %;0.2
Lv Zhenhong;16-6-0;;"5' 8""";145 lbs.;"67""";Switch;Jun 25, 1993;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Stevie Lynch;5-2-0;;"5' 10""";170 lbs.;--;Orthodox;--;2.47;25 %;7.06;41 %;0.0;0 %;0 %;0.0
Adam Lynn;17-10-0 (1 NC);;"5' 10""";155 lbs.;--;Orthodox;Nov 16, 1977;1.47;63 %;6.95;10 %;0.0;0 %;50 %;0.0
Chris Lytle;31-18-5;Lights Out;"5' 11""";170 lbs.;"68""";Orthodox;Aug 18, 1974;3.76;45 %;3.03;58 %;0.7;55 %;55 %;2.4
Dong Hyun Ma;16-11-3;Maestro;"5' 11""";155 lbs.;"70""";Orthodox;Sep 09, 1988;2.84;41 %;4.1;54 %;1.27;53 %;33 %;0.0
Pawan Maan;7-3-1;;"5' 7""";155 lbs.;"70""";Orthodox;Apr 06, 1986;0.89;44 %;2.98;43 %;0.0;0 %;0 %;0.0
William Macario;9-3-0;Patolino;"5' 11""";170 lbs.;"75""";Orthodox;Jul 01, 1991;4.92;54 %;3.96;65 %;1.85;45 %;78 %;0.0
Jason MacDonald;25-16-0;The Athlete;"6' 3""";185 lbs.;"80""";Orthodox;Jun 03, 1975;1.55;52 %;2.7;46 %;1.43;16 %;35 %;2.0
Rob MacDonald;5-4-0;Maximus;"6' 3""";205 lbs.;"78""";Orthodox;Sep 05, 1978;1.8;50 %;2.04;46 %;7.19;80 %;80 %;5.4
Rory MacDonald;19-4-0;Red King;"6' 0""";170 lbs.;"76""";Orthodox;Jul 22, 1989;3.75;42 %;2.8;62 %;1.77;47 %;88 %;0.4
Ryan MacDonald;10-2-0;Main Event;"5' 11""";135 lbs.;"71""";Switch;Mar 18, 1993;2.28;29 %;6.49;45 %;0.0;0 %;0 %;0.0
Clayton MacFarlane;4-1-0;;--;170 lbs.;--;;--;1.33;52 %;1.82;55 %;1.05;33 %;37 %;0.0
Ilima Macfarlane;6-0-0;;"5' 4""";125 lbs.;--;;--;4.13;43 %;2.93;65 %;0.0;0 %;50 %;1.0
Valesca Machado;8-3-0 (1 NC);Tina Black;"5' 4""";115 lbs.;"63""";Orthodox;May 06, 1996;2.4;32 %;2.87;64 %;0.0;0 %;76 %;0.0
Caio Machado;8-4-1;Bigfoot;"6' 4""";250 lbs.;"78""";Southpaw;Jul 20, 1994;5.82;53 %;2.87;63 %;0.0;0 %;82 %;0.0
Ian Machado Garry;16-1-0;The Future;"6' 3""";170 lbs.;"74""";Orthodox;Nov 17, 1997;4.77;54 %;2.77;51 %;1.02;33 %;73 %;0.4
Lyoto Machida;24-8-0;The Dragon;"6' 1""";185 lbs.;"74""";Southpaw;May 30, 1978;2.59;53 %;1.57;61 %;1.21;65 %;75 %;0.4
War Machine;14-5-0;;"5' 11""";170 lbs.;--;Orthodox;Nov 30, 1981;2.32;60 %;3.17;43 %;1.16;50 %;40 %;0.0
Anthony Macias;26-18-0;Mad Dog;"5' 9""";185 lbs.;--;Switch;Feb 09, 1969;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Pauline Macias;4-1-0;PITA;"5' 4""";115 lbs.;"64""";Southpaw;Jun 27, 1988;0.8;29 %;4.6;42 %;2.0;18 %;0 %;0.0
Reza Madadi;14-6-0;Mad Dog;"5' 11""";155 lbs.;"73""";Orthodox;Jun 20, 1978;2.51;46 %;3.31;66 %;3.17;33 %;89 %;0.5
Don Madge;9-3-1;Magic Man;"6' 0""";155 lbs.;"72""";Southpaw;Nov 12, 1990;2.08;52 %;0.74;67 %;2.22;25 %;80 %;0.7
Ryan Madigan;5-3-0;;"6' 0""";170 lbs.;--;Orthodox;--;0.0;0 %;3.35;47 %;0.0;0 %;0 %;0.0
Victor Madrigal;15-5-0;Periquito;"5' 7""";135 lbs.;"71""";Orthodox;Aug 16, 1990;2.31;38 %;9.56;50 %;0.0;0 %;0 %;0.0
Jon Madsen;8-2-0;;"6' 0""";240 lbs.;"72""";Orthodox;Feb 12, 1980;2.46;41 %;1.18;81 %;1.32;71 %;70 %;0.0
Mark Madsen;12-2-0;The Olympian;"5' 8""";155 lbs.;"72""";Orthodox;Sep 23, 1984;3.56;49 %;3.97;52 %;2.86;66 %;62 %;0.0
Yoshiro Maeda;35-16-5;;"5' 7""";139 lbs.;"68""";Southpaw;Oct 31, 1981;2.36;33 %;2.55;63 %;2.93;51 %;50 %;0.7
Leonardo Mafra;13-4-0;Macarrao;"5' 10""";155 lbs.;"70""";Orthodox;Apr 25, 1989;4.55;48 %;4.38;43 %;2.12;83 %;69 %;0.4
Vinny Magalhaes;14-9-0 (1 NC);Pezao;"6' 3""";205 lbs.;"75""";Orthodox;Jul 02, 1984;2.14;24 %;3.97;68 %;1.55;44 %;66 %;0.8
Vinicius Magalhaes;2-1-0;Draculinho;--;145 lbs.;--;;Jul 30, 1971;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Caio Magalhaes;10-3-0;Hellboy;"6' 1""";185 lbs.;"73""";Orthodox;Dec 14, 1987;2.27;40 %;2.78;56 %;1.05;15 %;58 %;1.6
Bernardo Magalhaes;13-4-0;Trekko;"5' 9""";155 lbs.;--;Orthodox;Apr 08, 1981;1.8;27 %;3.37;68 %;0.0;0 %;0 %;0.5
Eric Magana;1-1-0;;--;--;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Brandon Magana;6-2-0;;--;170 lbs.;--;Orthodox;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Angela Magana;11-9-0;Your Majesty;"5' 1""";115 lbs.;"65""";Orthodox;Aug 02, 1983;1.53;28 %;4.92;42 %;0.4;25 %;28 %;0.4
Neil Magny;31-14-0;The Haitian Sensation;"6' 3""";170 lbs.;"80""";Orthodox;Aug 03, 1987;3.41;46 %;2.44;51 %;2.18;39 %;55 %;0.3
Raimond Magomedaliev;10-2-0;;"6' 1""";170 lbs.;"75""";Orthodox;Jun 10, 1990;4.07;41 %;4.75;41 %;0.0;0 %;0 %;0.0
Ibragim Magomedov;22-8-1;;"6' 0""";250 lbs.;--;Orthodox;Jun 08, 1975;0.26;4 %;3.86;42 %;0.0;0 %;0 %;0.0
Rashid Magomedov;20-2-0;Highlander;"5' 9""";155 lbs.;"70""";Orthodox;Nov 29, 1984;4.4;49 %;3.05;54 %;0.67;57 %;89 %;0.2
Ruslan Magomedov;14-1-0;Leopard;"6' 3""";242 lbs.;"78""";Orthodox;Nov 26, 1986;4.02;47 %;1.47;66 %;0.33;100 %;88 %;0.0
Abus Magomedov;28-7-1;;"6' 2""";185 lbs.;"78""";Orthodox;Sep 02, 1990;3.07;49 %;3.43;55 %;2.61;59 %;100 %;0.4
Shara Magomedov;16-1-0;Bullet;"6' 2""";185 lbs.;"73""";Orthodox;May 16, 1994;5.93;62 %;3.85;43 %;0.0;0 %;71 %;0.0
Murtazali Magomedov;10-0-0;The Highlight;"5' 9""";145 lbs.;"70""";Orthodox;Aug 26, 1999;5.57;40 %;1.86;84 %;0.0;0 %;0 %;0.0
Zabit Magomedsharipov;18-1-0;;"6' 1""";145 lbs.;"73""";Orthodox;Mar 01, 1991;4.89;48 %;3.0;64 %;5.22;56 %;77 %;0.8
John Maguire;24-9-0;The One;"5' 9""";155 lbs.;"69""";Southpaw;May 19, 1983;1.41;41 %;2.44;65 %;2.8;46 %;77 %;1.1
Lolohea Mahe;10-4-1;;--;--;--;;--;1.71;29 %;6.92;40 %;2.44;40 %;0 %;0.0
Michelle Maher;1-2-0;;--;145 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Maheshate;10-5-0;;"6' 0""";155 lbs.;"71""";Orthodox;Dec 01, 1999;3.96;31 %;5.96;51 %;0.0;0 %;47 %;0.0
Bill Mahood;20-7-1 (1 NC);The Butcher;"6' 3""";200 lbs.;--;Orthodox;Feb 01, 1967;1.54;85 %;3.59;17 %;0.0;0 %;0 %;3.9
Klayton Mai;8-3-0;;"5' 9""";125 lbs.;--;;Nov 30, 1986;1.53;42 %;1.02;63 %;3.83;100 %;0 %;7.7
Demian Maia;28-11-0;;"6' 1""";170 lbs.;"72""";Southpaw;Nov 06, 1977;1.8;43 %;2.07;63 %;2.49;24 %;61 %;1.0
Jennifer Maia;21-10-1;;"5' 4""";125 lbs.;"64""";Orthodox;Oct 06, 1988;4.35;38 %;4.52;55 %;0.42;27 %;58 %;0.1
Nayara Maia;7-1-1;Capita;"5' 5""";125 lbs.;"66""";Orthodox;Jul 25, 1990;0.6;36 %;3.33;43 %;1.0;33 %;0 %;1.0
Roshan Mainam;6-3-0;The Indian Notorious;--;135 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Levan Makashvili;15-2-1;The Hornet;"5' 8""";145 lbs.;"68""";Orthodox;Jan 07, 1989;2.87;54 %;2.07;61 %;3.67;42 %;85 %;0.0
John Makdessi;18-9-0;The Bull;"5' 8""";155 lbs.;"68""";Orthodox;May 03, 1985;5.52;49 %;4.15;68 %;0.0;0 %;86 %;0.0
Islam Makhachev;27-1-0;;"5' 10""";170 lbs.;"70""";Southpaw;Oct 27, 1991;2.63;58 %;1.55;61 %;3.2;53 %;90 %;1.1
Aliev Makhmud;0-1-0;;"5' 6""";195 lbs.;--;Southpaw;Feb 13, 1970;1.12;30 %;2.24;36 %;2.1;50 %;0 %;0.0
Zach Makovsky;20-8-0;Fun Size;"5' 4""";125 lbs.;"64""";Southpaw;Apr 19, 1983;1.94;43 %;2.24;62 %;3.71;30 %;56 %;0.3
Azat Maksum;15-2-0;Qazaq;"5' 7""";125 lbs.;"70""";Southpaw;Feb 02, 1995;3.24;28 %;5.0;52 %;2.33;28 %;85 %;0.3
Jeremy Malaterre;4-2-0;;"5' 11""";155 lbs.;--;;Mar 05, 1987;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Fabio Maldonado;23-11-0;Caipira de Aco;"6' 1""";205 lbs.;"75""";Orthodox;Mar 17, 1980;5.29;58 %;4.31;53 %;0.44;57 %;61 %;0.6
Marvin Maldonado;2-4-0 (1 NC);The Bulldog;"5' 6""";135 lbs.;--;;--;0.87;56 %;3.47;43 %;0.0;0 %;20 %;0.0
Bea Malecki;4-1-0;;"5' 9""";135 lbs.;"74""";Orthodox;Aug 23, 1991;6.84;46 %;6.96;62 %;0.0;0 %;78 %;1.1
Nazareno Malegarie;28-4-0;El Tigre;"5' 8""";155 lbs.;--;;May 16, 1986;3.87;34 %;3.27;69 %;1.0;33 %;0 %;0.0
Carl Malenko;6-4-0;;"5' 11""";200 lbs.;--;Orthodox;Jan 25, 1970;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Jacob Malkoun;8-3-0;Mamba;"5' 9""";185 lbs.;"73""";Orthodox;Aug 26, 1995;3.86;56 %;2.48;52 %;6.62;42 %;20 %;0.4
Mike Malott;13-2-1;Proper;"6' 1""";170 lbs.;"73""";Orthodox;Nov 07, 1991;3.93;48 %;3.06;56 %;1.88;50 %;14 %;0.8
Regina Malpica Rivera;5-0-0;Kill Bill;--;135 lbs.;--;;Oct 19, 2004;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Dan Manasoiu;0-0-0;;--;--;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Troy Mandaloniz;3-2-0;Rude Boy;"5' 9""";170 lbs.;--;Orthodox;Feb 01, 1980;3.52;56 %;4.71;63 %;3.1;66 %;57 %;0.0
Nate Maness;16-3-0;Mayhem;"5' 10""";125 lbs.;"72""";Orthodox;Jun 27, 1991;3.14;50 %;3.88;42 %;0.68;75 %;80 %;0.7
Michael Mangan;0-3-0;;--;155 lbs.;--;;--;1.94;33 %;4.52;46 %;19.35;50 %;100 %;0.0
Gary Mangat;15-3-0;;"5' 7""";135 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
George Mangos;7-1-0;;"5' 10""";145 lbs.;"70""";Switch;Aug 19, 2003;0.93;51 %;0.27;77 %;0.0;0 %;0 %;2.0
Melvin Manhoef;30-14-1 (2 NC);No Mercy;"5' 9""";185 lbs.;--;Orthodox;May 11, 1976;3.52;48 %;2.64;51 %;0.33;25 %;78 %;0.0
Melchor Manibusan;2-4-0;Barracuda;"5' 5""";154 lbs.;--;Southpaw;Dec 27, 1976;1.58;54 %;5.79;15 %;0.0;0 %;0 %;0.0
Jon Manley;9-4-0;;"6' 1""";170 lbs.;--;Orthodox;Jul 07, 1986;1.13;20 %;4.33;45 %;1.0;7 %;20 %;0.0
Steve Mann;12-5-0;;"6' 1""";170 lbs.;--;;--;3.18;70 %;0.66;57 %;1.64;100 %;60 %;0.0
Marnic Mann;6-3-0;The Sawed-Off Savage;"5' 0""";115 lbs.;"64""";Southpaw;Mar 05, 1993;1.47;41 %;5.08;31 %;1.9;33 %;25 %;0.4
Dylan Mantello;8-4-0;The Quiet Man;"6' 1""";155 lbs.;"73""";Orthodox;Nov 19, 1992;4.69;62 %;4.76;55 %;0.0;0 %;76 %;0.0
Chris Manuel;9-7-2;;"5' 9""";135 lbs.;--;Orthodox;Jul 21, 1987;2.53;40 %;2.67;66 %;1.0;20 %;100 %;0.0
Jimi Manuwa;17-6-0;Poster Boy;"6' 1""";205 lbs.;"79""";Orthodox;Feb 18, 1980;3.43;54 %;3.97;49 %;0.53;18 %;70 %;0.4
Dom Mar Fan;8-2-0;Street Buddha;"5' 11""";155 lbs.;"75""";Orthodox;Mar 19, 2000;2.27;54 %;1.47;34 %;2.5;62 %;20 %;0.5
Cristiano Marcello;13-6-0;;"5' 9""";155 lbs.;"72""";Orthodox;Dec 03, 1977;2.56;33 %;3.61;58 %;0.44;11 %;20 %;0.9
Daniel Marcos;17-1-0 (1 NC);Soncora;"5' 7""";135 lbs.;"69""";Orthodox;Mar 07, 1993;5.11;53 %;3.88;61 %;0.99;46 %;84 %;0.0
Jose Maria;37-7-0 (2 NC);No Chance;"5' 5""";125 lbs.;--;Orthodox;Jan 04, 1982;3.2;53 %;3.98;52 %;2.32;27 %;33 %;2.3
Marcos Mariano;6-6-0;Dhalsim;"6' 1""";155 lbs.;"76""";Switch;Oct 12, 1986;0.25;27 %;2.11;43 %;0.0;0 %;28 %;0.0
Enrique Marin;10-4-0;Wasabi;"5' 10""";170 lbs.;--;;Sep 02, 1986;1.43;33 %;3.0;50 %;2.5;38 %;60 %;1.0
Chepe Mariscal;18-6-0 (1 NC);Machine Gun;"5' 7""";145 lbs.;"69""";Orthodox;Oct 27, 1992;4.95;56 %;3.07;51 %;2.85;39 %;73 %;0.2
Ronny Markes;17-5-0;;"6' 1""";185 lbs.;"75""";Orthodox;Apr 21, 1988;2.17;53 %;2.43;45 %;3.13;40 %;100 %;0.5
Rory Markham;17-6-0;;"6' 0""";170 lbs.;"71""";Orthodox;Mar 25, 1982;1.98;21 %;10.27;45 %;0.0;0 %;0 %;0.0
Randa Markos;11-12-1;Quiet Storm;"5' 4""";115 lbs.;"63""";Orthodox;Aug 10, 1985;2.97;43 %;3.1;58 %;1.12;28 %;52 %;0.2
Christina Marks;8-9-0;;"5' 7""";125 lbs.;"69""";Orthodox;Nov 08, 1985;5.0;58 %;3.0;64 %;7.5;100 %;0 %;0.0
Brendon Marotte;8-3-0;The Kid;"5' 9""";145 lbs.;"70""";Orthodox;Jan 12, 1996;0.41;50 %;5.7;28 %;0.0;0 %;0 %;0.0
Nate Marquardt;35-19-2;The Great;"6' 0""";185 lbs.;"74""";Orthodox;Apr 20, 1979;2.71;49 %;2.32;55 %;1.87;51 %;70 %;0.8
Danilo Marques;11-4-0;;"6' 6""";205 lbs.;"77""";Orthodox;Dec 26, 1985;1.44;79 %;2.52;52 %;3.93;28 %;0 %;0.8
Julian Marquez;9-6-0;The Cuban Missile Crisis;"6' 2""";185 lbs.;"72""";Orthodox;May 08, 1990;5.06;45 %;5.35;50 %;0.0;0 %;54 %;2.6
Carmelo Marrero;16-6-0 (1 NC);The Fury;"6' 0""";205 lbs.;"73""";Orthodox;Jan 26, 1981;0.84;34 %;2.04;54 %;3.21;36 %;36 %;0.9
Cesar Marscucci;3-2-0;;--;--;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
John Marsh;8-7-0;;"6' 0""";265 lbs.;--;Orthodox;Sep 15, 1970;0.83;42 %;2.23;40 %;0.43;100 %;54 %;0.4
CJ Marsh;5-7-0;;--;--;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Eliot Marshall;10-4-0;Fire;"6' 2""";205 lbs.;"77""";Orthodox;Jul 07, 1980;1.93;27 %;2.39;67 %;0.47;33 %;79 %;0.9
Doug Marshall;18-8-0;The Rhino;"5' 10""";205 lbs.;--;Orthodox;Sep 09, 1975;6.99;46 %;4.02;60 %;0.0;0 %;66 %;2.4
David Marshall;8-4-0;;"6' 2""";170 lbs.;--;;Aug 24, 1984;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Francis Marshall;8-3-0;Fire;"5' 9""";145 lbs.;"72""";Orthodox;Mar 03, 1999;3.46;33 %;4.1;54 %;2.75;44 %;66 %;0.4
Jack Marshman;23-10-0;The Hammer;"6' 0""";185 lbs.;"73""";Orthodox;Dec 19, 1989;2.74;25 %;4.19;56 %;0.0;0 %;20 %;0.0
Terry Martin;23-11-0;;"5' 8""";185 lbs.;"71""";Orthodox;Oct 10, 1980;2.82;43 %;3.13;54 %;3.1;42 %;92 %;0.0
Eric Martin;0-1-0;;--;--;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Justin Martin;4-3-0;;"6' 0""";185 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
